duplicate_group,sha256,instance_count,canonical_export_path_count,duplicate_class,canonical_export_paths,local_uploaded_filenames
SHA-2e3093ee0c5a,2e3093ee0c5a72a9c5a0fac70e4f8675a4680e9f595c08adecf2dae91d571821,2,1,upload repetition,file_0000000005d8622fa7db07353e5ee981.dat,file_0000000005d8622fa7db07353e5ee981(1).dat | file_0000000005d8622fa7db07353e5ee981.dat
SHA-2e32f2209b69,2e32f2209b6935187f926b0f015103ddee82436df1d0a112a85b8932f471b221,2,1,upload repetition,file_000000004c887230b5e71bcc6977bc5d.dat,file_000000004c887230b5e71bcc6977bc5d(1).dat | file_000000004c887230b5e71bcc6977bc5d.dat
SHA-304866945319,30486694531921262ec27027a2c2429c32beacaec95a85c88b2f706df1bd077a,2,2,same content referenced by multiple export paths,file_000000004018722f92842e50b8f756e5.dat | file_000000005310722faf968a6e5400181c.dat,file_000000004018722f92842e50b8f756e5.dat | file_000000005310722faf968a6e5400181c.dat
SHA-383b9e3b78ed,383b9e3b78ed6ada17a89c5996518cfc7a28f6b2dbc482c94d7c374c337cf491,2,2,same content referenced by multiple export paths,file_0000000017b8722fa02b058c54e4db02.dat | file_0000000053e4720ca62f09c1f98857f5.dat,file_0000000017b8722fa02b058c54e4db02.dat | file_0000000053e4720ca62f09c1f98857f5.dat
SHA-4254c4f563d7,4254c4f563d775098a4d6befd3063a6de84593f0089f707eaccd2730111b1174,2,2,same content referenced by multiple export paths,file_00000000883071f58a705e375dbd3499.dat | file_00000000d5d4722fb52335be32e7df6c.dat,file_00000000883071f58a705e375dbd3499.dat | file_00000000d5d4722fb52335be32e7df6c.dat
SHA-4bd74253093b,4bd74253093bc4270a7e1ee3ec9bf3e01d4cbb6afa637d343bebb6bea49be0df,2,2,same content referenced by multiple export paths,file-FaAShu3FKlhf1iisn6qHg0UA.dat | file-m8Mt8osXafdUazZUZFDtFnCS.dat,file-FaAShu3FKlhf1iisn6qHg0UA.dat | file-m8Mt8osXafdUazZUZFDtFnCS.dat
SHA-4da186516d5a,4da186516d5a790247fc1df52ca94ee250eeef9507e453d39a8ce79658c11ba8,2,2,same content referenced by multiple export paths,file-S27eeGd02CaocSgLdBf2s8Qx.dat | file-cGmwUSUEJChzNJGLZWKTs9Ae.dat,file-S27eeGd02CaocSgLdBf2s8Qx.dat | file-cGmwUSUEJChzNJGLZWKTs9Ae.dat
SHA-4dfe5f7cc846,4dfe5f7cc846300bda0912b57b6489a7d5b50333c04d179ad73a1b1c06e995e9,2,1,upload repetition,file-6Hhdehr8FyqQo337SABTSb.dat,file-6Hhdehr8FyqQo337SABTSb(1).dat | file-6Hhdehr8FyqQo337SABTSb.dat
SHA-4e30b031e6c8,4e30b031e6c809914bfe335754bec08aef4701d146524649dcdc1bbf590a4dfb,2,2,same content referenced by multiple export paths,file_00000000177071f589291215b0ced264.dat | file_00000000b170722f854b4b49f520a4e7.dat,file_00000000177071f589291215b0ced264.dat | file_00000000b170722f854b4b49f520a4e7.dat
SHA-51dbd68813b9,51dbd68813b917ab210eac796301eadad2b482f5ab52a8119f3207d08058b07f,2,1,upload repetition,file-7ZbiCuNwN9eYmz2SdAqUsj.dat,file-7ZbiCuNwN9eYmz2SdAqUsj(1).dat | file-7ZbiCuNwN9eYmz2SdAqUsj.dat
