export_path,category,expected_size_bytes,status,local_instance_count,local_filenames,all_sizes_match_manifest,restricted
file-8orsrurhB9ChhXW43eSPyo.dat,asset,19403,present,2,file-8orsrurhB9ChhXW43eSPyo(1).dat | file-8orsrurhB9ChhXW43eSPyo.dat,yes,no
file-8uDTuTjAQdPGMQSsYUUvuE1m.dat,asset,189272,present,2,file-8uDTuTjAQdPGMQSsYUUvuE1m(1).dat | file-8uDTuTjAQdPGMQSsYUUvuE1m.dat,yes,no
file-92WDgs9XqQpDm8bADSxVeUAO.dat,asset,959631,present,1,file-92WDgs9XqQpDm8bADSxVeUAO.dat,yes,no
file-9cZwkB5ND1aLUXqW4uFyKKcS.dat,asset,360616,present,2,file-9cZwkB5ND1aLUXqW4uFyKKcS(1).dat | file-9cZwkB5ND1aLUXqW4uFyKKcS.dat,yes,no
file-9zPkKXBbubyBtePtfmh822.dat,asset,186517,present,2,file-9zPkKXBbubyBtePtfmh822(1).dat | file-9zPkKXBbubyBtePtfmh822.dat,yes,no
file-A3r8iC4M62TKwMc5NNagWp.dat,asset,19340,present,1,file-A3r8iC4M62TKwMc5NNagWp.dat,yes,no
file-ADxwPA9QJdo3Tq4rsu5BCq.dat,asset,506747,present,1,file-ADxwPA9QJdo3Tq4rsu5BCq.dat,yes,no
file-AM9xqkktVGnhGEcLandZ8J.dat,asset,329210,present,1,file-AM9xqkktVGnhGEcLandZ8J.dat,yes,no
file-AyATILF74MZdBpwOP2zLaVKW.dat,asset,520404,present,1,file-AyATILF74MZdBpwOP2zLaVKW.dat,yes,no
file-BAF3EEjavwzL8pjQLA64u7.dat,asset,322813,present,1,file-BAF3EEjavwzL8pjQLA64u7.dat,yes,no
file-Be3inKPujy1at6G8JPWHRT.dat,asset,329996,present,1,file-Be3inKPujy1at6G8JPWHRT.dat,yes,no
file-BjKRh9N9jdcXke63h4k9Pp.dat,asset,109701,present,1,file-BjKRh9N9jdcXke63h4k9Pp.dat,yes,no
file-BxmPYCeqJfCOpnsIc9pn5Gtk.dat,asset,3251,present,1,file-BxmPYCeqJfCOpnsIc9pn5Gtk.dat,yes,no
file-C72EvNXtFwYAVuX1T6kbcL.dat,asset,337321,present,1,file-C72EvNXtFwYAVuX1T6kbcL.dat,yes,no
file-CARcKzJVTsDYWpi2SCSLjc.dat,asset,284402,present,1,file-CARcKzJVTsDYWpi2SCSLjc.dat,yes,no
file-CXxVsQCNDRuDQfBg8GGbTK.dat,asset,229576,present,1,file-CXxVsQCNDRuDQfBg8GGbTK.dat,yes,no
file-DD6h5hNzNPBkiGBhaVfpak.dat,asset,165660,present,1,file-DD6h5hNzNPBkiGBhaVfpak.dat,yes,no
file-DWja99dQTKMKk2j8xu8BLe.dat,asset,276926,present,1,file-DWja99dQTKMKk2j8xu8BLe.dat,yes,no
file-E1qubuC4VBKpuh2vdwDsyw.dat,asset,418619,present,1,file-E1qubuC4VBKpuh2vdwDsyw.dat,yes,no
file-ENAzxLMeBoxkSSrCvmC6EE.dat,asset,495947,present,1,file-ENAzxLMeBoxkSSrCvmC6EE.dat,yes,no
